item_id,item_name,alignment,quirk_type,tags
101,Izuku Midoriya,Hero,One For All,Super Strength|Technique|Courage
102,Katsuki Bakugo,Hero,Explosion,Sweat Nitroglycerin|Aggression|Tactics
103,Shoto Todoroki,Hero,Half-Cold Half-Hot,Fire|Ice|Control
104,All Might,Hero,One For All,Strength|Symbol of Peace
105,Ochako Uraraka,Hero,Zero Gravity,Weightlessness|Agility
106,Stain,Villain,Bloodcurdle,Stealth|Justice
107,Endeavor,Hero,Hellflame,Fire Control|Power
108,Tenya Iida,Hero,Engine,Super Speed|Leadership
109,Momo Yaoyorozu,Hero,Creation,Lipid Synthesis|Support
110,Eijiro Kirishima,Hero,Hardening,Durability|Strength
111,Fumikage Tokoyami,Hero,Dark Shadow,Shadow Control|Tactical
112,Minoru Mineta,Hero,Pop Off,Stickiness|Humor
113,Hitoshi Shinso,Hero,Brainwashing,Manipulation|Intelligence
114,Toga Himiko,Villain,Transformation,Blood Affinity|Stealth
115,Dabi,Villain,Cremation,Blue Flames|Revenge
116,Tomura Shigaraki,Villain,Decay,Chaos|Power
117,Kurogiri,Villain,Warp Gate,Support|Stealth
118,Mirko,Hero,Rabbit,Agility|Strength
119,Nejire Hado,Hero,Wave Motion,Energy|Support
120,Kamui Woods,Hero,Wood,Defense|Strength
121,All For One,Villain,All For One,Power Stealing|Tactics
122,Muscular,Villain,Muscle Augmentation,Aggression|Strength
123,Nine,Hero,Weather Manipulation,Power Variety|Pain Resistance
124,Re-Destro,Villain,Stress Enhancement,Authority|Power
125,Gentle Criminal,Neutral,Cunning,Charm|Stealth
126,Lady Nagant,Villain,Rifle,Sniper|Precision
127,Tsuyu Asui,Hero,Frog,Leaping|Tongue Grapple
128,Mina Ashido,Hero,Acid,Corrosive|Agility
129,Denki Kaminari,Hero,Electrification,Electric Shock|Range
130,Kyoka Jiro,Hero,Earphone Jack,Sound Manipulation|Support
