user_id,item_id,rating
1,101,5
1,102,4
1,103,5
1,105,3
1,107,4
1,109,5
2,101,4
2,103,4
2,104,5
2,106,3
2,108,4
2,110,5
3,102,5
3,105,4
3,107,3
3,109,4
3,111,5
3,112,3
4,101,3
4,104,4
4,106,5
4,108,4
4,110,3
4,113,5
5,103,5
5,105,4
5,107,5
5,109,4
5,111,3
5,114,4
6,102,4
6,104,5
6,106,3
6,108,4
6,112,5
6,115,4
7,101,5
7,103,4
7,107,5
7,110,4
7,113,5
7,116,3
8,102,5
8,105,4
8,108,5
8,111,4
8,114,5
8,117,3
9,101,4
9,104,5
9,107,4
9,109,5
9,112,4
9,115,5
10,103,5
10,105,4
10,108,5
10,111,4
10,113,5
10,116,4
